Nome,ticker,valor
Rio Paranapanema Energia,gepa3,https://www.paranapanemaenergia.com.br
Banrisul,brsr5,https://www.banrisul.com.br
Mangels,mgel4,https://www.mangels.com.br
Haga,haga4,https://www.haga.com.br
Comgás,cgas3,https://www.www.com
Celesc,clsc3,https://www.celesc.com.br
Metisa,mtsa4,https://www.metisa.com.br
Coelce,coce3,https://www.eneldistribuicao.com.br
CEB,cebr5,https://www.ceb.com.br
RDVC CITY,ccty3,https://www.br.investing.com
Electro Aço Altona,ealt3,https://www.altona.com.br
Wetzel,mwet4,https://www.wetzel.com.br
Pettenati,ptnt3,https://www.pettenati.com.br
Afluente T,aflt3,https://www.infomoney.com.br
Plascar,plas3,https://www.plascar.com.br
Santanense,ctsa3,https://www.santanense.com.br
PPLA,ppla11,https://www.btgpactual.com
Monark,bmks3,https://www.monark.com.br
Lojas Marisa,amar11,https://www.marisa.com.br
OSX Brasil,osxb3,https://www.osx.com.br
Telebras,telb4,https://www.telebras.com.br
Mundial,mndl3,https://www.mundial.com
COELBA,ceeb3,https://www.coelba.com.br
Eucatex,euca3,https://www.eucatex.com.br
Sansuy,snsy3,https://www.sansuy.com.br
Brasil Brokers,nexp3,https://www.google.com
Copel,cple5,https://www.copel.com
Banese,bgip4,https://www.banese.com.br
Alfa Holdings,rpad3,https://www.alfanet.com.br
Banco do Nordeste,bnbr3,https://www.bnb.gov.br
Elektro,ektr3,https://www.investidor10.com.br
Karsten,ctka4,https://www.karsten.com.br
Ferbasa,fesa3,https://www.ferbasa.com.br
Monteiro Aranha,moar3,https://www.monteiroaranha.com.br
Energisa MT,enmt4,https://www.energisa.com.br
Cedro Têxtil,cedo3,https://www.cedro.com.br
Baumer,balm3,https://www.baumer.com.br
Estrela,estr4,https://www.estrela.com.br
Cemepe,mapt4,https://www.infomoney.com.br
CEEE D,ceed3,https://www.ceee.com.br
Elektro,ektr4,https://www.investidor10.com.br
São Paulo Turismo,aheb5,https://www.spturis.com
COELBA,ceeb5,https://www.coelba.com.br
Banco Mercantil do Brasil,bmeb3,https://www.mercantildobrasil.com.br
Banco Pine,pine11,https://www.pine.com
Unipar,unip5,https://www.unipar.com
Panatlântica,pati4,https://www.panatlantica.com.br
WLM,wlmm3,https://www.wlm.com.br
Excelsior,bauh4,https://www.excelsior.ind.br
EMAE,emae3,https://www.emae.com.br
MRS Logística,mrsa5b,https://www.google.com
Josapar,jopa3,https://www.josapar.com.br
Tronox Pigmentos,crpg6,https://www.cristal-al.com.br
Ampla Energia,cbee3,https://www.eneldistribuicao.com.br
Bardella,bdll4,https://www.bardella.com.br
Hercules,heta4,https://www.hercules.ind.br
Banco Mercantil de Investimentos,bmin4,https://www.mercantildobrasil.com.br
Natura,ntco3,https://www.naturaeco.com
Banese,bgip3,https://www.banese.com.br
Equatorial Maranhão,eqma3b,https://www.cemar-ma.com.br
Nordon,nord3,https://www.nordon.ind.br
Energisa MT,enmt3,https://www.energisa.com.br
Karsten,ctka3,https://www.karsten.com.br
Metalfrio,frio3,https://www.metalfrio.com.br
Alfa Holdings,rpad6,https://www.alfanet.com.br
Tronox Pigmentos,crpg3,https://www.cristal-al.com.br
Iguatemi,igti4,https://www.jereissati.com.br
Jereissati Participações,igti4,https://www.jereissati.com.br
Iguatemi,igti4,https://www.jereissati.com.br
Jereissati Participações,igti4,https://www.jereissati.com.br
